,age,continent,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value,contract_until_year,value_won,age_clean,age_obj,won_clean,won_round,won_obj
0,31,south america,2021,ST,left,5.0,94,94,4.0,110500000.0,2021,143611325000,4.0,30~35,5.0,14361.1,100억이상
1,27,europe,2020,GK,right,4.0,91,93,1.0,72000000.0,2020,93574800000,3.0,25~30,5.0,9357.5,100억이상
2,31,south america,2021,ST,right,5.0,91,91,3.0,80000000.0,2021,103972000000,4.0,30~35,5.0,10397.2,100억이상
3,32,europe,2020,DF,right,4.0,91,91,3.0,51000000.0,2020,66282150000,4.0,30~35,5.0,6628.2,100억이상
4,25,europe,2021,GK,right,3.0,90,93,1.0,68000000.0,2021,88376200000,2.0,20~25,5.0,8837.6,100억이상
5,32,south america,2019,DF,right,3.0,90,90,2.0,44000000.0,2019,57184600000,4.0,30~35,5.0,5718.5,100억이상
6,32,europe,2020,MF,left,4.0,90,90,4.0,60000000.0,2020,77979000000,4.0,30~35,5.0,7797.9,100억이상
7,27,europe,2023,MF,right,3.0,89,90,2.0,63000000.0,2023,81877950000,3.0,25~30,5.0,8187.8,100억이상
8,26,europe,2022,GK,right,3.0,89,92,1.0,58000000.0,2022,75379700000,2.0,20~25,5.0,7538.0,100억이상
9,26,europe,2024,GK,left,4.0,89,90,1.0,53500000.0,2024,69531275000,2.0,20~25,5.0,6953.1,100억이상
10,29,europe,2023,MF,right,4.0,89,89,3.0,51500000.0,2023,66931975000,3.0,25~30,5.0,6693.2,100억이상
11,31,south america,2020,ST,right,4.0,89,89,3.0,60000000.0,2020,77979000000,4.0,30~35,5.0,7797.9,100억이상
12,32,europe,2021,GK,right,5.0,89,89,1.0,38000000.0,2021,49386700000,4.0,30~35,5.0,4938.7,100억이상
13,33,europe,2020,DF,left,4.0,89,89,2.0,27000000.0,2020,35090550000,4.0,30~35,5.0,3509.1,100억이상
14,26,africa,2023,MF,left,3.0,88,89,4.0,69500000.0,2023,90325675000,2.0,20~25,5.0,9032.6,100억이상
15,26,south america,2021,MF,right,3.0,88,90,2.0,59500000.0,2021,77329175000,2.0,20~25,5.0,7732.9,100억이상
16,27,europe,2022,ST,right,3.0,88,88,4.0,62000000.0,2022,80578300000,3.0,25~30,5.0,8057.8,100억이상
17,26,europe,2022,ST,right,3.0,88,91,4.0,73500000.0,2022,95524275000,2.0,20~25,5.0,9552.4,100억이상
18,26,south america,2023,ST,right,3.0,88,89,5.0,69500000.0,2023,90325675000,2.0,20~25,5.0,9032.6,100억이상
19,29,africa,2021,MF,right,3.0,88,88,4.0,59000000.0,2021,76679350000,3.0,25~30,5.0,7667.9,100억이상
20,29,europe,2021,DF,right,4.0,88,88,3.0,46000000.0,2021,59783900000,3.0,25~30,5.0,5978.4,100억이상
21,31,europe,2022,GK,left,4.0,88,88,1.0,36000000.0,2022,46787400000,4.0,30~35,5.0,4678.7,100억이상
22,30,south america,"Jun 30, 2019",ST,right,4.0,88,88,3.0,57000000.0,2019,74080050000,3.0,25~30,5.0,7408.0,100억이상
23,40,europe,2019,GK,right,4.0,88,88,1.0,4000000.0,2019,5198600000,5.0,35~40,4.0,519.9,50억~100억
24,24,europe,2023,DF,left,3.0,87,92,2.0,57000000.0,2023,74080050000,2.0,20~25,5.0,7408.0,100억이상
25,27,africa,2021,DF,right,3.0,87,90,2.0,51000000.0,2021,66282150000,3.0,25~30,5.0,6628.2,100억이상
26,25,europe,2021,MF,right,4.0,87,91,5.0,64000000.0,2021,83177600000,2.0,20~25,5.0,8317.8,100억이상
27,25,europe,2022,ST,left,3.0,87,89,3.0,62500000.0,2022,81228125000,2.0,20~25,5.0,8122.8,100억이상
28,29,europe,2020,DF,left,3.0,87,87,3.0,38000000.0,2020,49386700000,3.0,25~30,5.0,4938.7,100억이상
29,31,europe,2020,ST,right,3.0,87,87,4.0,45000000.0,2020,58484250000,4.0,30~35,5.0,5848.4,100억이상
30,30,europe,2020,MF,right,3.0,87,87,3.0,46500000.0,2020,60433725000,3.0,25~30,5.0,6043.4,100억이상
31,30,europe,2021,MF,right,4.0,87,87,3.0,46500000.0,2021,60433725000,3.0,25~30,5.0,6043.4,100억이상
32,31,europe,2022,DF,right,4.0,87,87,2.0,34000000.0,2022,44188100000,4.0,30~35,5.0,4418.8,100억이상
33,26,africa,2023,MF,right,3.0,86,87,4.0,52000000.0,2023,67581800000,2.0,20~25,5.0,6758.2,100억이상
34,26,europe,2023,DF,right,3.0,86,88,2.0,44500000.0,2023,57834425000,2.0,20~25,5.0,5783.4,100억이상
35,25,europe,2021,MF,right,3.0,86,89,4.0,55000000.0,2021,71480750000,2.0,20~25,5.0,7148.1,100억이상
36,27,south america,2020,DF,left,3.0,86,86,3.0,36500000.0,2020,47437225000,3.0,25~30,5.0,4743.7,100억이상
37,27,south america,2022,MF,left,3.0,86,86,5.0,46500000.0,2022,60433725000,3.0,25~30,5.0,6043.4,100억이상
38,28,europe,2021,MF,right,4.0,86,86,3.0,45000000.0,2021,58484250000,3.0,25~30,5.0,5848.4,100억이상
39,27,europe,2021,MF,right,3.0,86,86,5.0,45500000.0,2021,59134075000,3.0,25~30,5.0,5913.4,100억이상
40,29,europe,2023,MF,right,4.0,86,86,4.0,43500000.0,2023,56534775000,3.0,25~30,5.0,5653.5,100억이상
41,31,africa,2020,DF,right,3.0,86,86,2.0,30000000.0,2020,38989500000,4.0,30~35,5.0,3899.0,100억이상
42,33,south america,2020,MF,right,3.0,86,86,3.0,18000000.0,2020,23393700000,4.0,30~35,5.0,2339.4,100억이상
43,34,europe,2021,ST,right,4.0,86,86,4.0,21500000.0,2021,27942475000,4.0,30~35,5.0,2794.2,100억이상
44,23,europe,2022,DF,right,1.0,85,92,2.0,46500000.0,2022,60433725000,2.0,20~25,5.0,6043.4,100억이상
45,23,europe,2023,MF,right,2.0,85,90,4.0,50500000.0,2023,65632325000,2.0,20~25,5.0,6563.2,100억이상
46,22,europe,2023,ST,left,3.0,85,92,4.0,54000000.0,2023,70181100000,2.0,20~25,5.0,7018.1,100억이상
47,25,south america,2024,GK,right,3.0,85,90,1.0,36500000.0,2024,47437225000,2.0,20~25,5.0,4743.7,100억이상
48,23,europe,2026,MF,left,3.0,85,90,3.0,50500000.0,2026,65632325000,2.0,20~25,5.0,6563.2,100억이상
49,26,europe,2019,MF,right,3.0,85,86,3.0,45000000.0,2019,58484250000,2.0,20~25,5.0,5848.4,100억이상
50,27,europe,2022,ST,right,3.0,85,86,4.0,45000000.0,2022,58484250000,3.0,25~30,5.0,5848.4,100억이상
51,30,south america,2022,DF,right,3.0,85,85,2.0,28500000.0,2022,37040025000,3.0,25~30,5.0,3704.0,100억이상
52,28,europe,2021,GK,right,3.0,85,87,1.0,32000000.0,2021,41588800000,3.0,25~30,5.0,4158.9,100억이상
53,29,south america,2022,ST,right,4.0,85,85,4.0,37500000.0,2022,48736875000,3.0,25~30,5.0,4873.7,100억이상
54,28,africa,2019,MF,right,3.0,85,85,4.0,39000000.0,2019,50686350000,3.0,25~30,5.0,5068.6,100억이상
55,31,south america,2021,MF,right,4.0,85,85,3.0,26000000.0,2021,33790900000,4.0,30~35,5.0,3379.1,100억이상
56,29,europe,2022,MF,right,3.0,85,85,4.0,37500000.0,2022,48736875000,3.0,25~30,5.0,4873.7,100억이상
57,31,europe,2021,MF,right,3.0,85,85,2.0,33000000.0,2021,42888450000,4.0,30~35,5.0,4288.8,100억이상
58,29,europe,2021,ST,right,4.0,85,85,2.0,38500000.0,2021,50036525000,3.0,25~30,5.0,5003.7,100억이상
59,35,south america,2020,DF,right,3.0,85,85,2.0,9000000.0,2020,11696850000,4.0,30~35,5.0,1169.7,100억이상
60,31,europe,2020,MF,left,3.0,85,85,2.0,26000000.0,2020,33790900000,4.0,30~35,5.0,3379.1,100억이상
61,30,europe,2021,ST,right,4.0,85,85,4.0,37000000.0,2021,48087050000,3.0,25~30,5.0,4808.7,100억이상
62,32,south america,2019,DF,left,3.0,85,85,3.0,21500000.0,2019,27942475000,4.0,30~35,5.0,2794.2,100억이상
63,32,europe,2019,DF,right,4.0,85,85,2.0,22000000.0,2019,28592300000,4.0,30~35,5.0,2859.2,100억이상
64,35,europe,2019,DF,right,4.0,85,85,2.0,9000000.0,2019,11696850000,4.0,30~35,5.0,1169.7,100억이상
65,36,europe,2022,ST,right,5.0,85,85,5.0,14000000.0,2022,18195100000,4.0,30~35,5.0,1819.5,100억이상
66,22,south america,2024,DF,right,2.0,84,88,2.0,34000000.0,2024,44188100000,2.0,20~25,5.0,4418.8,100억이상
67,25,south america,2021,DF,left,3.0,84,87,3.0,32000000.0,2021,41588800000,2.0,20~25,5.0,4158.9,100억이상
68,23,europe,2023,MF,right,2.0,84,88,4.0,40500000.0,2023,52635825000,2.0,20~25,5.0,5263.6,100억이상
69,22,europe,2022,DF,right,2.0,84,90,2.0,36500000.0,2022,47437225000,2.0,20~25,5.0,4743.7,100억이상
70,24,south america,2023,MF,right,3.0,84,88,3.0,34000000.0,2023,44188100000,2.0,20~25,5.0,4418.8,100억이상
71,24,south america,2022,MF,right,3.0,84,89,2.0,35500000.0,2022,46137575000,2.0,20~25,5.0,4613.8,100억이상
72,26,europe,2023,MF,right,2.0,84,87,3.0,38000000.0,2023,49386700000,2.0,20~25,5.0,4938.7,100억이상
73,26,europe,2022,DF,right,3.0,84,87,3.0,31500000.0,2022,40938975000,2.0,20~25,5.0,4093.9,100억이상
74,24,europe,2021,ST,right,3.0,84,89,5.0,42000000.0,2021,54585300000,2.0,20~25,5.0,5458.5,100억이상
75,27,europe,2020,GK,left,2.0,84,86,1.0,25000000.0,2020,32491250000,3.0,25~30,5.0,3249.1,100억이상
76,26,europe,2023,DF,right,3.0,84,86,2.0,31500000.0,2023,40938975000,2.0,20~25,5.0,4093.9,100억이상
77,25,europe,2022,GK,right,2.0,84,89,1.0,29500000.0,2022,38339675000,2.0,20~25,5.0,3834.0,100억이상
78,30,south america,2020,MF,right,3.0,84,84,5.0,29500000.0,2020,38339675000,3.0,25~30,5.0,3834.0,100억이상
79,26,europe,2023,GK,right,3.0,84,87,1.0,27000000.0,2023,35090550000,2.0,20~25,5.0,3509.1,100억이상
80,29,europe,2020,MF,left,3.0,84,84,3.0,24000000.0,2020,31191600000,3.0,25~30,5.0,3119.2,100억이상
81,28,europe,2023,GK,right,2.0,84,84,1.0,22000000.0,2023,28592300000,3.0,25~30,5.0,2859.2,100억이상
82,28,europe,2023,MF,right,2.0,84,84,4.0,31000000.0,2023,40289150000,3.0,25~30,5.0,4028.9,100억이상
83,31,europe,2020,MF,right,3.0,84,84,3.0,27500000.0,2020,35740375000,4.0,30~35,5.0,3574.0,100억이상
84,32,europe,2020,ST,right,3.0,84,84,3.0,25000000.0,2020,32491250000,4.0,30~35,5.0,3249.1,100억이상
85,29,south america,2020,ST,right,3.0,84,84,4.0,30500000.0,2020,39639325000,3.0,25~30,5.0,3963.9,100억이상
86,30,south america,2020,MF,right,3.0,84,84,4.0,29000000.0,2020,37689850000,3.0,25~30,5.0,3769.0,100억이상
