iter	Passed	Remaining
0	0	747
1	1	727
2	2	708
3	2	695
4	3	682
5	4	678
6	4	677
7	5	673
8	6	672
9	6	674
10	7	674
11	8	673
12	8	675
13	9	676
14	10	673
15	10	673
16	11	673
17	12	674
18	13	674
19	13	674
20	14	675
21	15	675
22	15	677
23	16	677
24	17	677
25	18	676
26	18	677
27	19	678
28	20	679
29	21	682
30	21	684
31	22	684
32	23	687
33	24	686
34	24	687
35	25	688
36	26	686
37	27	687
38	27	688
39	28	688
40	29	691
41	30	691
42	31	691
43	31	690
44	32	690
45	33	689
46	34	689
47	34	689
48	35	689
49	36	689
50	37	688
51	37	688
52	38	687
53	39	685
54	39	684
55	40	683
56	41	682
57	41	682
58	42	681
59	43	680
60	44	679
61	44	678
62	45	677
63	46	676
64	47	676
65	47	676
66	48	675
67	49	675
68	50	675
69	50	674
70	51	674
71	52	675
72	53	674
73	53	674
74	54	674
75	55	673
76	56	673
77	56	672
78	57	672
79	58	672
80	59	671
81	59	670
82	60	668
83	61	668
84	62	667
85	62	668
86	63	667
87	64	666
88	65	666
89	65	666
90	66	665
91	67	664
92	68	664
93	68	663
94	69	663
95	70	661
96	70	660
97	71	660
98	72	659
99	73	658
100	73	658
101	74	658
102	75	657
103	76	656
104	76	655
105	77	654
106	78	653
107	78	652
108	79	651
109	80	650
110	81	649
111	81	649
112	82	648
113	83	647
114	84	646
115	84	645
116	85	644
117	86	643
118	86	642
119	87	642
120	88	642
121	89	641
122	89	641
123	90	640
124	91	639
125	92	638
126	92	637
127	93	636
128	94	635
129	94	635
130	95	634
131	96	633
132	97	632
133	97	632
134	98	631
135	99	630
136	99	629
137	100	628
138	101	626
139	101	626
140	102	625
141	103	624
142	104	623
143	104	622
144	105	622
145	106	621
146	106	620
147	107	619
148	108	618
149	108	617
150	109	616
151	110	615
152	110	614
153	111	613
154	112	612
155	113	611
156	113	610
157	114	609
158	115	608
159	115	608
160	116	607
161	117	606
162	117	605
163	118	604
164	119	603
165	120	603
166	120	602
167	121	602
168	122	601
169	123	600
170	123	600
171	124	599
172	125	598
173	126	598
174	126	597
175	127	597
176	128	597
177	129	596
178	129	595
179	130	594
180	131	594
181	132	593
182	132	592
183	133	591
184	134	590
185	134	589
186	135	588
187	136	588
188	136	587
189	137	586
190	138	586
191	139	585
192	139	584
193	140	584
194	141	583
195	142	582
196	142	582
197	143	581
198	144	580
199	144	579
200	145	579
201	146	578
202	147	577
203	147	576
204	148	575
205	149	575
206	149	574
207	150	573
208	151	573
209	152	572
210	152	571
211	153	571
212	154	570
213	155	569
214	155	568
215	156	568
216	157	567
217	157	566
218	158	565
219	159	565
220	160	564
221	160	563
222	161	562
223	162	561
224	162	560
225	163	560
226	164	559
227	164	558
228	165	557
229	166	557
230	167	556
231	167	555
232	168	555
233	169	554
234	170	553
235	170	552
236	171	552
237	172	551
238	173	551
239	174	551
240	174	550
241	175	550
242	176	549
243	177	549
244	178	548
245	178	548
246	179	547
247	180	546
248	181	546
249	181	545
250	182	544
251	183	543
252	183	542
253	184	541
254	185	540
255	185	540
256	186	539
257	187	538
258	187	537
259	188	537
260	189	536
261	190	536
262	191	535
263	191	534
264	192	533
265	193	532
266	193	532
267	194	531
268	195	530
269	195	529
270	196	529
271	197	528
272	198	527
273	198	526
274	199	525
275	200	525
276	200	524
277	201	523
278	202	522
279	203	522
280	203	521
281	204	520
282	205	519
283	205	519
284	206	518
285	207	517
286	208	516
287	208	516
288	209	515
289	210	514
290	210	513
291	211	512
292	212	512
293	212	511
294	213	510
295	214	509
296	215	509
297	215	508
298	216	507
299	217	506
300	217	505
301	218	505
302	219	504
303	220	503
304	220	502
305	221	502
306	222	501
307	222	500
308	223	500
309	224	499
310	224	498
311	225	497
312	226	496
313	227	496
314	227	495
315	228	494
316	229	494
317	230	493
318	230	492
319	231	491
320	232	491
321	232	490
322	233	489
323	234	489
324	235	488
325	235	487
326	236	487
327	237	486
328	238	485
329	238	485
330	239	484
331	240	483
332	241	482
333	241	482
334	242	481
335	243	480
336	244	480
337	244	479
338	245	478
339	246	478
340	247	477
341	247	476
342	248	476
343	249	475
344	250	474
345	250	473
346	251	473
347	252	472
348	252	471
349	253	470
350	254	469
351	254	469
352	255	468
353	256	467
354	256	466
355	257	465
356	258	465
357	258	464
358	259	463
359	260	462
360	261	462
361	261	461
362	262	460
363	263	459
364	263	459
365	264	458
366	265	457
367	266	457
368	267	456
369	268	456
370	268	455
371	269	454
372	270	454
373	270	453
374	271	452
375	272	452
376	273	451
377	273	450
378	274	450
379	275	449
380	276	448
381	276	447
382	277	446
383	278	446
384	278	445
385	279	444
386	280	444
387	281	443
388	282	442
389	282	442
390	283	441
391	284	440
392	284	440
393	285	439
394	286	438
395	287	437
396	287	437
397	288	436
398	289	435
399	290	435
400	290	434
401	291	433
402	292	432
403	292	432
404	293	431
405	294	430
406	295	430
407	295	429
408	296	428
409	297	428
410	298	427
411	298	426
412	299	426
413	300	425
414	301	424
415	302	424
416	302	423
417	303	422
418	304	421
419	304	421
420	305	420
421	306	419
422	307	419
423	307	418
424	308	417
425	309	416
426	310	416
427	310	415
428	311	414
429	312	414
430	313	413
431	313	412
432	314	411
433	315	411
434	315	410
435	316	409
436	317	409
437	318	408
438	319	407
439	319	407
440	320	406
441	321	405
442	322	404
443	322	404
444	323	403
445	324	402
446	325	402
447	325	401
448	326	400
449	327	400
450	328	399
451	328	398
452	329	397
453	330	397
454	331	396
455	331	395
456	332	395
457	333	394
458	334	393
459	334	393
460	335	392
461	336	391
462	336	390
463	337	390
464	340	391
465	341	391
466	342	390
467	342	389
468	343	388
469	344	388
470	344	387
471	345	386
472	346	386
473	347	385
474	347	384
475	348	383
476	349	382
477	349	382
478	350	381
479	351	380
480	352	379
481	352	379
482	353	378
483	354	377
484	355	377
485	355	376
486	356	375
487	357	374
488	358	374
489	358	373
490	359	372
491	360	372
492	361	371
493	361	370
494	362	369
495	363	369
496	364	368
497	364	367
498	365	366
499	366	366
500	366	365
501	367	364
502	368	363
503	369	363
504	369	362
505	370	361
506	371	361
507	372	360
508	373	359
509	373	359
510	374	358
511	375	357
512	376	356
513	376	356
514	377	355
515	378	354
516	378	353
517	379	353
518	380	352
519	381	351
520	382	351
521	382	350
522	383	349
523	384	349
524	384	348
525	385	347
526	386	346
527	387	346
528	388	345
529	388	344
530	389	344
531	390	343
532	391	342
533	392	342
534	392	341
535	393	340
536	394	340
537	395	339
538	396	338
539	396	338
540	397	337
541	398	336
542	399	335
543	400	335
544	400	334
545	401	334
546	402	333
547	403	332
548	403	331
549	404	331
550	405	330
551	406	329
552	406	328
553	407	328
554	408	327
555	409	326
556	410	326
557	410	325
558	411	324
559	412	324
560	413	323
561	414	322
562	415	322
563	415	321
564	416	320
565	417	320
566	418	319
567	418	318
568	419	317
569	420	317
570	421	316
571	421	315
572	422	314
573	423	314
574	424	313
575	425	312
576	425	312
577	426	311
578	427	310
579	428	310
580	429	309
581	429	308
582	430	307
583	431	307
584	432	306
585	432	305
586	433	305
587	434	304
588	435	303
589	436	303
590	436	302
591	437	301
592	438	300
593	439	300
594	439	299
595	440	298
596	441	298
597	442	297
598	442	296
599	443	295
600	444	294
601	444	294
602	445	293
603	446	292
604	447	292
605	448	291
606	448	290
607	449	289
608	450	289
609	451	288
610	451	287
611	452	287
612	453	286
613	454	285
614	455	284
615	455	284
616	456	283
617	457	282
618	458	281
619	458	281
620	459	280
621	460	279
622	461	279
623	461	278
624	462	277
625	463	276
626	464	276
627	465	275
628	465	274
629	466	274
630	467	273
631	468	272
632	468	271
633	469	271
634	470	270
635	471	269
636	472	269
637	473	268
638	473	267
639	474	267
640	475	266
641	476	265
642	477	265
643	478	264
644	479	263
645	479	262
646	480	262
647	481	261
648	482	260
649	483	260
650	483	259
651	484	258
652	485	257
653	486	257
654	486	256
655	487	255
656	488	254
657	489	254
658	489	253
659	490	252
660	491	252
661	492	251
662	493	250
663	493	249
664	494	249
665	495	248
666	496	247
667	496	246
668	497	246
669	498	245
670	499	244
671	499	244
672	500	243
673	501	242
674	502	241
675	502	241
676	503	240
677	504	239
678	505	238
679	506	238
680	506	237
681	507	236
682	508	235
683	509	235
684	510	234
685	510	233
686	511	233
687	512	232
688	513	231
689	513	230
690	514	230
691	515	229
692	516	228
693	517	227
694	517	227
695	518	226
696	519	225
697	520	225
698	520	224
699	521	223
700	522	222
701	523	222
702	524	221
703	524	220
704	525	219
705	526	219
706	527	218
707	527	217
708	528	217
709	529	216
710	530	215
711	530	214
712	531	214
713	532	213
714	533	212
715	533	211
716	534	211
717	535	210
718	536	209
719	536	208
720	537	208
721	538	207
722	539	206
723	539	205
724	540	205
725	541	204
726	541	203
727	542	202
728	543	202
729	544	201
730	544	200
731	545	199
732	546	199
733	547	198
734	547	197
735	548	196
736	549	196
737	550	195
738	550	194
739	551	193
740	552	193
741	553	192
742	553	191
743	554	190
744	555	190
745	556	189
746	557	188
747	557	187
748	558	187
749	559	186
750	559	185
751	560	184
752	561	184
753	561	183
754	562	182
755	563	181
756	564	181
757	564	180
758	565	179
759	566	178
760	566	178
761	567	177
762	568	176
763	569	175
764	569	175
765	570	174
766	571	173
767	572	172
768	572	172
769	573	171
770	574	170
771	575	169
772	575	169
773	576	168
774	577	167
775	578	166
776	578	166
777	579	165
778	580	164
779	581	163
780	581	163
781	582	162
782	591	163
783	592	163
784	592	162
785	593	161
786	594	160
787	594	160
788	595	159
789	596	158
790	596	157
791	597	156
792	598	156
793	598	155
794	599	154
795	600	153
796	600	153
797	601	152
798	602	151
799	603	150
800	603	149
801	604	149
802	605	148
803	605	147
804	606	146
805	607	146
806	607	145
807	608	144
808	609	143
809	610	143
810	610	142
811	611	141
812	612	140
813	613	140
814	613	139
815	614	138
816	615	137
817	616	137
818	617	136
819	617	135
820	618	134
821	619	134
822	620	133
823	621	132
824	621	131
825	622	131
826	623	130
827	624	129
828	625	128
829	626	128
830	627	127
831	627	126
832	628	126
833	629	125
834	630	124
835	631	123
836	632	123
837	633	122
838	634	121
839	635	121
840	636	120
841	637	119
842	638	118
843	638	118
844	639	117
845	640	116
846	641	115
847	642	115
848	643	114
849	644	113
850	645	112
851	646	112
852	647	111
853	647	110
854	649	110
