,value,reputation,stat_potential
333,90,80,86
336,90,80,86
337,90,80,86
345,90,80,86
253,92,80,88
274,95,80,83
139,97,80,85
254,97,80,84
266,100,80,85
250,102,80,85
257,105,80,87
209,112,80,84
251,112,80,89
252,117,80,90
198,120,80,86
203,122,80,87
155,127,80,88
156,132,80,84
95,140,80,83
145,145,80,86
106,160,80,85
141,162,80,90
44,232,80,92
217,90,160,84
225,90,160,81
232,90,160,81
335,90,160,86
355,90,160,86
160,92,160,82
201,92,160,84
212,92,160,84
230,92,160,81
262,92,160,83
303,92,160,83
90,95,160,84
115,95,160,83
170,97,160,83
208,97,160,85
267,97,160,84
270,97,160,85
276,97,160,84
126,100,160,84
148,100,160,83
179,100,160,82
197,100,160,86
215,100,160,86
261,100,160,86
263,100,160,85
265,100,160,85
117,105,160,84
118,105,160,84
119,105,160,83
162,105,160,83
177,105,160,82
220,105,160,82
239,105,160,82
171,107,160,83
182,107,160,82
204,107,160,88
218,107,160,83
81,110,160,84
211,110,160,83
223,110,160,83
159,112,160,84
200,112,160,84
214,112,160,84
165,117,160,82
224,117,160,85
113,120,160,87
112,122,160,85
151,122,160,86
202,122,160,87
75,125,160,86
153,127,160,88
147,130,160,83
158,130,160,83
166,130,160,83
167,130,160,83
114,132,160,83
116,132,160,83
154,132,160,89
140,135,160,91
168,142,160,85
152,145,160,86
77,147,160,89
99,147,160,88
149,147,160,87
161,147,160,87
109,150,160,84
103,152,160,84
150,152,160,88
82,155,160,84
146,157,160,89
66,170,160,88
96,170,160,88
98,170,160,87
110,172,160,88
69,182,160,90
100,182,160,90
72,190,160,87
68,202,160,88
94,205,160,92
45,252,160,90
42,90,240,86
164,90,240,84
219,90,240,81
288,90,240,82
175,92,240,85
121,95,240,83
124,95,240,83
207,95,240,85
227,95,240,81
107,100,240,83
130,100,240,84
131,100,240,83
132,100,240,83
122,105,240,83
169,105,240,83
174,105,240,82
181,105,240,82
62,107,240,85
173,107,240,82
180,110,240,82
185,115,240,82
80,120,240,84
87,120,240,84
135,120,240,83
127,122,240,83
206,122,240,88
84,125,240,84
89,125,240,84
120,127,240,83
213,127,240,88
60,130,240,85
79,135,240,87
83,137,240,84
51,142,240,85
163,142,240,85
86,145,240,84
142,145,240,93
78,147,240,84
41,150,240,86
157,150,240,87
85,152,240,84
123,152,240,84
73,157,240,87
76,157,240,86
111,157,240,85
52,160,240,87
67,160,240,87
104,162,240,86
57,165,240,85
105,165,240,86
70,170,240,88
102,170,240,88
101,172,240,87
108,175,240,89
71,177,240,89
97,177,240,89
36,182,240,86
47,182,240,90
56,187,240,85
28,190,240,87
54,195,240,85
93,200,240,92
74,210,240,89
5,220,240,90
34,222,240,88
29,225,240,87
49,225,240,86
50,225,240,86
39,227,240,86
30,232,240,87
37,232,240,86
48,252,240,90
25,255,240,90
33,260,240,87
46,270,240,92
35,275,240,89
24,285,240,92
8,290,240,92
19,295,240,88
15,297,240,90
16,310,240,88
27,312,240,89
7,315,240,90
4,340,240,93
14,347,240,89
18,347,240,89
17,367,240,91
43,107,320,86
63,110,320,85
55,130,320,85
13,135,320,89
172,135,320,85
32,170,320,87
21,180,320,88
61,185,320,85
53,187,320,85
58,192,320,85
40,217,320,86
38,225,320,86
20,230,320,88
31,232,320,87
3,255,320,91
10,257,320,89
9,267,320,90
22,285,320,88
6,300,320,90
11,300,320,89
26,320,320,91
1,360,320,93
